,track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
390,42,0.63,0.731,6,-4.985,0.0352,0.0191,7.82e-06,0.704,0.46,119.997,240000
391,70,0.795,0.899,0,-4.202,0.0685,0.00235,0.000392,0.199,0.329,125.978,198839
393,64,0.529,0.717,6,-7.049,0.24,0.123,0.000707,0.0363,0.481,103.99,257943
395,79,0.7,0.872,10,-5.896,0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302
398,48,0.791,0.541,1,-7.14,0.054,0.123,4.74e-05,0.121,0.433,115.987,154654
399,53,0.904,0.633,0,-5.545,0.0958,0.203,0.000266,0.163,0.492,121.995,179016
400,75,0.744,0.725,11,-6.055,0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859
402,46,0.772,0.687,9,-6.348,0.211,0.0528,0.0,0.834,0.59,118.116,154286
403,67,0.706,0.524,6,-8.804,0.026,0.127,0.00129,0.109,0.296,111.991,183183
405,65,0.664,0.699,11,-7.115,0.27,0.0352,0.0,0.0612,0.252,122.019,216256
406,56,0.781,0.745,1,-4.942,0.0374,0.0814,9.71e-05,0.106,0.498,110.051,158091
407,42,0.789,0.547,9,-8.738,0.0748,0.072,9.21e-05,0.0782,0.48,120.024,203227
409,74,0.669,0.797,9,-5.68,0.0624,0.259,0.0,0.199,0.552,119.865,185943
410,65,0.567,0.946,5,-2.245,0.0541,0.0978,1.37e-06,0.0836,0.295,104.983,208367
411,64,0.653,0.757,3,-3.642,0.0555,0.0997,0.0,0.242,0.233,128.015,204591
412,51,0.721,0.779,6,-4.239,0.0606,0.142,0.0,0.143,0.327,110.026,169964
413,63,0.534,0.765,1,-3.151,0.0338,0.0915,0.00107,0.225,0.117,127.978,172520
414,83,0.651,0.693,4,-4.722,0.0375,0.458,0.0,0.335,0.392,118.97,236765
418,55,0.682,0.923,0,-3.273,0.0364,0.00395,3e-05,0.242,0.37,130.052,153231
419,39,0.66,0.827,10,-5.081,0.0789,0.429,0.0,0.0923,0.611,115.349,167249
420,48,0.57,0.965,6,-4.881,0.0348,0.00108,0.523,0.201,0.148,123.008,291785
421,59,0.608,0.918,0,-1.137,0.0684,0.199,0.0,0.309,0.422,126.022,182000
423,64,0.561,0.562,9,-11.431,0.15,0.062,0.0,0.118,0.244,151.631,242385
424,42,0.591,0.88,4,-5.153,0.223,0.0804,0.0,0.326,0.482,127.013,177638
425,70,0.626,0.8,1,-3.988,0.035,0.0267,0.000138,0.0623,0.258,127.966,160184
428,57,0.745,0.8,11,-5.606,0.0361,0.0209,0.000479,0.113,0.314,122.008,204693
429,21,0.66,0.857,2,-5.219,0.321,0.167,1.36e-05,0.119,0.233,130.069,225160
431,63,0.552,0.887,1,-3.812,0.147,0.0457,0.0207,0.0903,0.783,125.229,131204
432,54,0.471,0.911,2,-4.372,0.0594,0.0316,0.00648,0.571,0.197,126.112,170000
433,79,0.747,0.776,10,-5.898,0.0722,0.0233,1.38e-05,0.761,0.67,125.07,147027
437,72,0.712,0.664,11,-8.026,0.0345,0.0416,0.000104,0.0668,0.781,122.014,204514
438,80,0.733,0.859,9,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948,147840
440,47,0.517,0.793,6,-5.851,0.0367,0.0214,0.00046,0.0892,0.176,90.06,157333
441,19,0.675,0.674,4,-6.329,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,200640
443,79,0.818,0.823,11,-3.563,0.2,0.0663,1.17e-05,0.133,0.52,128.136,160794
447,59,0.639,0.591,7,-3.905,0.0344,0.128,6.69e-06,0.159,0.305,128.002,225000
448,68,0.535,0.906,6,-4.699,0.0353,0.0202,0.000715,0.0886,0.732,126.012,178671
451,72,0.784,0.721,8,-5.457,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219
455,66,0.809,0.758,4,-5.658,0.101,0.409,0.000544,0.166,0.71,125.022,142230
456,59,0.669,0.793,1,-6.16,0.0403,0.0318,0.0372,0.555,0.159,121.995,220205
457,64,0.578,0.786,9,-4.665,0.13,0.232,0.000106,0.122,0.347,105.945,179151
459,9,0.733,0.839,1,-2.84,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533
462,41,0.63,0.726,0,-3.753,0.0978,0.0717,0.0,0.108,0.499,122.055,196475
463,69,0.845,0.766,2,-5.727,0.0658,0.212,0.0,0.111,0.782,114.054,195924
464,66,0.679,0.866,2,-3.754,0.0566,0.0337,0.0,0.0688,0.441,121.927,183934
467,68,0.657,0.882,0,-3.565,0.0456,0.247,0.00202,0.112,0.179,127.994,195000
470,66,0.493,0.773,5,-3.791,0.157,0.429,7.07e-06,0.0807,0.301,123.149,193548
472,63,0.687,0.706,4,-5.357,0.0459,0.091,0.0,0.124,0.27,115.268,127826
473,68,0.654,0.874,6,-3.885,0.0543,0.169,1.77e-06,0.134,0.542,119.85,184027
476,67,0.447,0.684,9,-4.721,0.09,0.175,0.0,0.478,0.437,125.655,175312
479,62,0.731,0.802,5,-4.763,0.0623,0.022,0.0,0.059,0.434,121.991,179016
480,9,0.489,0.766,3,-5.84,0.0851,0.0511,1.35e-05,0.126,0.117,121.445,190645
481,59,0.6,0.888,8,-4.612,0.13,0.00166,0.0,0.4,0.641,126.056,157024
483,71,0.687,0.707,4,-6.19,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656
487,21,0.711,0.724,7,-4.809,0.106,0.0835,0.0,0.0389,0.478,104.048,208947
488,81,0.693,0.575,9,-6.998,0.0801,0.374,0.0,0.252,0.492,117.999,211362
497,69,0.683,0.785,7,-4.879,0.037,0.0643,1.34e-05,0.177,0.581,122.997,184564
498,56,0.638,0.818,9,-4.517,0.05,0.131,1.78e-05,0.107,0.489,126.015,167990
500,56,0.707,0.806,6,-4.777,0.175,0.00908,0.0,0.366,0.634,119.972,163000
501,60,0.59,0.888,5,-2.851,0.0765,0.0216,0.0,0.487,0.288,126.094,185714
503,40,0.632,0.574,4,-8.584,0.053,0.0942,0.0,0.215,0.557,125.989,201905
504,57,0.703,0.879,1,-4.514,0.177,0.0693,0.0,0.315,0.542,124.972,183360
506,70,0.79,0.746,9,-5.96,0.0502,0.241,0.0,0.316,0.538,124.971,212280
508,63,0.733,0.718,4,-7.149,0.0376,0.0107,0.0102,0.33,0.206,122.993,176098
509,65,0.728,0.848,5,-6.248,0.185,0.0427,4.49e-06,0.118,0.612,124.993,193137
510,56,0.502,0.78,0,-4.547,0.244,0.333,0.0,0.72,0.607,122.688,183341
511,2,0.638,0.708,1,-5.001,0.0421,0.24,0.0,0.311,0.582,103.16,132233
512,53,0.685,0.712,6,-4.302,0.0894,0.334,1.1e-06,0.047,0.483,114.989,196493
513,11,0.62,0.906,11,-3.638,0.0627,0.102,0.0206,0.183,0.398,123.047,221773
515,77,0.601,0.775,0,-4.612,0.0473,0.269,0.0,0.0883,0.483,119.964,190295
516,56,0.762,0.665,11,-6.92,0.0471,0.169,0.0,0.103,0.961,115.946,193640
517,65,0.684,0.95,1,-2.588,0.0809,0.0207,1.25e-06,0.105,0.436,125.974,156168
519,34,0.65,0.819,4,-3.811,0.0551,0.117,0.0,0.0772,0.351,128.09,186094
520,54,0.448,0.836,11,-6.495,0.0809,0.229,0.0,0.427,0.482,122.899,170103
522,51,0.712,0.646,5,-4.23,0.182,0.116,0.0,0.123,0.607,104.998,196571
524,50,0.674,0.854,5,-5.253,0.115,0.054,0.0,0.379,0.503,111.969,180571
526,52,0.739,0.622,11,-5.382,0.0394,0.532,0.0,0.0508,0.615,119.992,217804
527,76,0.647,0.795,1,-3.548,0.0372,0.0635,0.0,0.188,0.409,127.992,192402
532,75,0.669,0.895,5,-3.787,0.0575,0.128,0.0,0.297,0.576,124.964,205653
534,52,0.792,0.724,11,-5.108,0.0362,0.219,0.0,0.0911,0.429,109.984,169000
535,62,0.706,0.931,0,-3.053,0.0456,0.354,3.72e-06,0.146,0.465,123.012,200893
536,65,0.645,0.795,1,-5.439,0.0343,0.0334,1.05e-05,0.089,0.424,127.959,226875
537,62,0.662,0.823,9,-4.7,0.0971,0.073,0.0,0.0833,0.435,118.958,191786
538,10,0.673,0.885,11,-3.574,0.0569,0.143,0.0,0.184,0.704,121.082,174545
539,55,0.516,0.857,0,-3.432,0.0463,0.0368,0.0,0.264,0.448,127.949,198750
540,49,0.686,0.613,2,-5.614,0.069,0.0386,0.0,0.251,0.452,104.988,206875
541,70,0.503,0.754,7,-3.634,0.0424,0.264,5.85e-05,0.297,0.597,116.524,186750
545,61,0.382,0.698,6,-3.409,0.0374,0.00236,5.24e-05,0.108,0.151,127.816,234609
548,60,0.708,0.825,4,-3.117,0.0615,0.031,0.0,0.191,0.662,109.991,186000
549,63,0.588,0.757,5,-2.415,0.0716,0.327,0.0,0.323,0.836,122.813,191650
550,73,0.636,0.63,0,-6.396,0.0346,0.0796,0.0,0.13,0.454,104.845,184020
552,60,0.682,0.786,11,-4.87,0.0477,0.214,0.0,0.12,0.664,91.042,195947
554,62,0.639,0.705,7,-5.039,0.049,0.045,0.0,0.425,0.595,124.957,182161
555,67,0.815,0.647,9,-7.162,0.218,0.399,0.0,0.0738,0.182,125.95,176773
556,61,0.696,0.907,0,-4.157,0.073,0.0191,1.23e-05,0.124,0.466,125.932,186667
557,71,0.659,0.617,11,-5.862,0.0649,0.27,0.0,0.187,0.187,119.858,164010
559,80,0.592,0.873,9,-5.65,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262
562,68,0.651,0.617,8,-6.077,0.0309,0.179,0.0,0.113,0.591,121.977,167912
563,60,0.707,0.585,5,-11.024,0.0701,0.145,0.00485,0.257,0.277,125.161,155520
564,66,0.673,0.687,6,-5.295,0.0623,0.269,0.0,0.181,0.524,96.964,211040
565,75,0.567,0.765,1,-4.107,0.108,0.317,0.0,0.14,0.541,121.924,169467
568,58,0.768,0.83,11,-4.983,0.036,0.0229,0.000127,0.145,0.444,126.007,187301
569,74,0.734,0.765,7,-5.562,0.0621,0.151,0.0,0.231,0.518,109.989,163636
571,68,0.689,0.901,7,-1.431,0.0678,0.145,1.03e-05,0.459,0.651,125.115,180485
573,72,0.676,0.582,9,-7.58,0.128,0.221,0.00627,0.515,0.447,124.012,194618
576,70,0.686,0.693,0,-6.245,0.131,0.329,0.0,0.136,0.699,124.206,197876
